Group,Subgroup,AUC,Recall,Precision,F1,FPR,FNR,AUC_gap,Recall_gap,Precision_gap,F1_gap,FPR_gap,FNR_gap
Sex,F,0.84,0.164,0.565,0.254,0.019,0.836,0.011,0.005,0.001,0.005,-0.001,-0.005
Sex,M,0.815,0.155,0.563,0.243,0.021,0.845,-0.014,-0.004,-0.001,-0.006,0.001,0.004
Age,18-44,0.863,0.043,0.625,0.081,0.001,0.957,0.034,-0.116,0.061,-0.168,-0.019,0.116
Age,45-64,0.829,0.173,0.571,0.266,0.02,0.827,0.0,0.014,0.007,0.017,0.0,-0.014
Age,65+,0.763,0.163,0.557,0.252,0.033,0.837,-0.066,0.004,-0.007,0.003,0.013,-0.004
Income,Low,0.788,0.241,0.564,0.337,0.055,0.759,-0.041,0.082,0.0,0.088,0.035,-0.082
Income,Middle,0.812,0.133,0.563,0.215,0.017,0.867,-0.017,-0.026,-0.001,-0.034,-0.003,0.026
Income,High,0.839,0.068,0.577,0.121,0.004,0.932,0.01,-0.091,0.013,-0.128,-0.016,0.091
Education,HS or less,0.793,0.197,0.556,0.291,0.037,0.803,-0.036,0.038,-0.008,0.042,0.017,-0.038
Education,Some college,0.822,0.168,0.571,0.26,0.022,0.832,-0.007,0.009,0.007,0.011,0.002,-0.009
Education,College grad,0.846,0.098,0.578,0.167,0.008,0.902,0.017,-0.061,0.014,-0.082,-0.012,0.061
